symbol,entry_date,exit_date,entry_price,exit_price,gap_size_pct,volume_ratio,body_pct,pnl_gross,pnl_net,exit_reason,stopped_out,hold_days,hold_bars,allocated_capital,trade_pnl_rupees,year
KEI,2026-02-03,2026-02-09,4369.1835,4587.6427,4.56,2.71,1.56,0.05,0.047,take_profit,False,6,4,126846.53,5961.79,2026
GARFIBRES,2026-02-03,2026-02-05,744.472,707.2484,3.31,5.06,4.14,-0.05,-0.053,stopped_out,True,2,2,101477.23,-5378.29,2026
CEIGALL,2026-02-05,2026-02-10,288.5442,302.9714,2.43,1.76,2.38,0.05,0.047,take_profit,False,5,3,141030.83,6628.45,2026
JAIBALAJI,2026-02-05,2026-02-13,75.1075,69.965,0.72,2.33,5.6,-0.068469,-0.071469,stopped_out_gap,False,8,6,112824.67,-8063.47,2026
NYKAA,2026-02-05,2026-02-06,258.4192,271.3401,1.31,2.72,2.07,0.05,0.047,take_profit,False,1,1,90259.73,4242.21,2026
SENCO,2026-02-06,2026-02-09,332.1685,348.7769,5.83,2.97,6.8,0.05,0.047,take_profit,False,3,1,124310.25,5842.58,2026
POWERINDIA,2026-02-06,2026-02-12,21881.9355,22976.0323,11.46,3.76,4.65,0.05,0.047,take_profit,False,6,4,99448.2,4674.07,2026
SKYGOLD,2026-02-09,2026-02-10,349.8248,332.3336,1.01,5.54,7.44,-0.05,-0.053,stopped_out,True,1,1,132150.79,-7003.99,2026
SCI,2026-02-09,2026-02-12,261.9279,275.0243,13.33,13.26,6.53,0.05,0.047,take_profit,False,3,3,105720.63,4968.87,2026
FORCEMOT,2026-02-10,2026-02-11,23634.8115,24816.5521,3.72,1.91,4.55,0.05,0.047,take_profit,False,1,1,139137.72,6539.47,2026
BANDHANBNK,2026-02-10,2026-02-24,166.7733,175.112,0.67,1.84,2.36,0.05,0.047,take_profit,False,14,10,111310.18,5231.58,2026
JKPAPER,2026-02-11,2026-02-12,367.5337,349.157,2.71,6.8,10.15,-0.05,-0.053,stopped_out,True,1,1,118183.58,-6263.73,2026
BHARATFORG,2026-02-12,2026-02-23,1725.5903,1811.8698,2.17,3.58,3.03,0.05,0.047,take_profit,False,11,7,159893.19,7514.98,2026
KIMS,2026-02-12,2026-02-24,698.1489,733.0563,0.68,2.48,1.55,0.05,0.047,take_profit,False,12,8,127914.55,6011.98,2026
GODREJAGRO,2026-02-12,2026-02-26,633.3165,618.5406,3.15,13.55,7.63,-0.023331,-0.026331,time_exit,False,14,10,102331.64,-2694.49,2026
GOKEX,2026-02-13,2026-02-17,844.6221,802.391,1.5,1.82,8.01,-0.05,-0.053,stopped_out,True,4,2,102817.55,-5449.33,2026
